Kitzur Shulchan Arukh
קיצור שלחן ערוך
Russian [ru]
chatGPT 4o translation

Kitzur Shulchan Arukh



Siman 1



Siman 2



Siman 3



Siman 4



Siman 5



Siman 6



Siman 7



Siman 8



Siman 9



Siman 10



Siman 11



Siman 12



Siman 13



Siman 14



Siman 15



Siman 16



Siman 17



Siman 18



Siman 19



Siman 20



Siman 21



Siman 22



Siman 23



Siman 24



Siman 25



Siman 26



Siman 27



Siman 28



Siman 29



Siman 30



Siman 31



Siman 32



Siman 33



Siman 34



Siman 35



Siman 36



Siman 37



Siman 38



Siman 39



Siman 40



Siman 41



Siman 42



Siman 43



Siman 44



Siman 45



Siman 46



Siman 47



Siman 48



Siman 49



Siman 50



Siman 51



Siman 52



Siman 53



Siman 54



Siman 55



Siman 56



Siman 57



Siman 58



Siman 59



Siman 60



Siman 61



Siman 62



Siman 63



Siman 64



Siman 65



Siman 66



Siman 67



Siman 68



Siman 69



Siman 70



Siman 71



Siman 72



Siman 73



Siman 74



Siman 75



Siman 76



Siman 77



Siman 78



Siman 79



Siman 80



Siman 81



Siman 82



Siman 83



Siman 84



Siman 85



Siman 86



Siman 87



Siman 88



Siman 89



Siman 90



Siman 91



Siman 92



Siman 93



Siman 94



Siman 95



Siman 96



Siman 97



Siman 98



Siman 99



Siman 100



Siman 101



Siman 102



Siman 103



Siman 104



Siman 105



Siman 106



Siman 107



Siman 108



Siman 109



Siman 110



Siman 111



Siman 112



Siman 113



Siman 114



Siman 115



Siman 116



Siman 117



Siman 118



Siman 119



Siman 120



Siman 121



Siman 122



Siman 123



Siman 124



Siman 125



Siman 126



Siman 127



Siman 128



Siman 129



Siman 130



Siman 131



Siman 132



Siman 133



Siman 134



Siman 135



Siman 136



Siman 137



Siman 138



Siman 139



Siman 140



Siman 141



Siman 142



Siman 143

Необходимо быть очень внимательным в почитании и уважении к отцу и матери, ведь Тора приравняла их уважение к уважению и благоговению перед Всевышним, да будет благословенно Его Имя. Сказано: «Почитай отца твоего и мать твою». Также сказано: «Почитай Господа от всего достояния твоего». Про отца и мать сказано: «Каждый должен бояться свою мать и своего отца», и также сказано: «Бойся Господа, Бога твоего». Как Тора заповедовала уважать великое Имя Его и благоговеть перед Ним, так она заповедовала уважать и благоговеть перед родителями. Трое участвуют в создании человека: Святой, благословен Он, отец и мать. (Отец даёт белую часть, мать даёт красную часть, а Святой, благословен Он, дарует душу, зрение, слух и речь). Когда человек уважает своих родителей, Святой, благословен Он, говорит: «Я считаю, будто Я живу среди них, и они почитают Меня».
Что такое благоговение перед родителями? Это означает, что человек не должен занимать место, которое отведено его отцу для собраний со старейшинами или для молитвы, а также не должен садиться на место, предназначенное для отца дома, не должен возражать отцу и не должен поправлять его слова даже в форме согласия, например, говоря: «Полагаю, отец прав». Насколько велико благоговение перед родителями? Если даже сын, будучи одет в почётную одежду и находясь в главе общины, встречает родителей, которые разорвали его одежду, ударили его по голове и плюнули в лицо, он не должен унижать их, причинять им страдания или сердиться на них, а должен молчать и бояться Царя царей, Святого, благословен Он, Который заповедал это. Однако он может подать на них в суд за причинённый ущерб.
Что такое уважение? Это означает кормить и поить родителей, одевать и укрывать, водить их и выводить (смотри выше, раздел 34, пункт 6). И делать это с приветливым лицом. Даже если он кормит их каждый день отборной пищей, но делает это с сердитым выражением лица, он будет наказан за это.
