Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Zevachim 65b:21,Rashi on Zevachim 65b:21:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:24,Rashi on Zevachim 65b:24:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:28,Rashi on Zevachim 65b:28:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:3,Rashi on Zevachim 65b:3:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:30-33,Chullin 21a:9-11,automatic mesorat hashas,Zevachim,Chullin,Talmud,Talmud
Zevachim 65b:30-33,Chullin 28a:44-46,automatic mesorat hashas,Zevachim,Chullin,Talmud,Talmud
Zevachim 65b:31,Rashi on Zevachim 65b:31:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:31,Rashi on Zevachim 65b:31:2,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:31,Rashi on Zevachim 65b:31:3,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:33,Rashi on Zevachim 65b:33:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:34,Rashi on Zevachim 65b:34:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:4,Judges 14:6,,Zevachim,Judges,Talmud,Tanakh
Zevachim 65b:6,Rashi on Zevachim 65b:6:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 65b:9,Rashi on Zevachim 65b:9:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 66a:1,Rashi on Zevachim 66a:1:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 66a:14-15,"Sifra, Vayikra Dibbura d'Nedavah, Chapter 9 7",automatic mesorat hashas,Zevachim,"Sifra, Vayikra Dibbura d'Nedavah, Chapter 9",Talmud,Midrash
Zevachim 66a:22,Rashi on Zevachim 66a:22:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 66a:22,Tosafot on Zevachim 66a:22:1,commentary,Zevachim,Tosafot on Zevachim,Talmud,Talmud
Zevachim 66a:23,Rashi on Zevachim 66a:23:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 66a:24,Rashi on Zevachim 66a:24:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 66a:24,Tosafot on Zevachim 66a:24:1,commentary,Zevachim,Tosafot on Zevachim,Talmud,Talmud
Zevachim 66a:27,Rashi on Zevachim 66a:27:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 66a:28,Rashi on Zevachim 66a:28:1,commentary,Zevachim,Rashi on Zevachim,Talmud,Talmud
Zevachim 66a:28,Tosafot on Zevachim 66a:28:1,commentary,Zevachim,Tosafot on Zevachim,Talmud,Talmud
Zevachim 66a:3,Tosafot on Zevachim 66a:3:1,commentary,Zevachim,Tosafot on Zevachim,Talmud,Talmud
Zevachim 66a:4,Exodus 21:33,,Zevachim,Exodus,Talmud,Tanakh
