Text 1,Text 2,Link Count
Jastrow,Jastrow,56109
Klein Dictionary,Klein Dictionary,45992
Machatzit HaShekel on Orach Chayim,"Shulchan Arukh, Orach Chayim",15591
Bereishit Rabbah,Jastrow,5237
Jastrow,Shabbat,3745
Leviticus,Sifra,3745
Sefer Mitzvot Gadol,Tur,3728
Pri Megadim on Yoreh De'ah,"Shulchan Arukh, Yoreh De'ah",3210
Daf Shevui to Ketubot,Ketubot,2827
Berakhot,Jastrow,2643
Jastrow,Sanhedrin,2441
Bamidbar Rabbah,Jastrow,2427
Bereishit Rabbah,Genesis,2330
Jastrow,Yalkut Shimoni on Torah,2317
Sefer Mitzvot Gadol,"Shulchan Arukh, Choshen Mishpat",2294
Jastrow,Yalkut Shimoni on Nach,2285
Chullin,Jastrow,2231
Jastrow,Vayikra Rabbah,2225
Bava Batra,Jastrow,2037
Psalms,Zohar,1987
Bava Kamma,Sefer Mitzvot Gadol,1933
Aramaic Targum to Psalms,Jastrow,1906
Genesis,Midrash Tanchuma Buber,1893
Sefer Mitzvot Gadol,"Shulchan Arukh, Yoreh De'ah",1871
Sifra,Sifra,1862
Bava Metzia,Jastrow,1860
Genesis,Shenei Luchot HaBerit,1831
Jastrow,Pesachim,1830
Genesis,Yismach Moshe,1678
Sefer Mitzvot Gadol,"Shulchan Arukh, Orach Chayim",1657
Genesis,Midrash Aggadah,1621
Genesis,Zohar,1564
Bava Batra,Tur,1556
Jastrow,Yoma,1517
Jastrow,Shemot Rabbah,1506
Psalms,Shenei Luchot HaBerit,1497
Bava Metzia,Tur,1483
Genesis,Midrash Tanchuma,1464
Exodus,Shenei Luchot HaBerit,1418
Jastrow,Ketubot,1399
Avodah Zarah,Jastrow,1392
Bava Batra,"Shulchan Arukh, Choshen Mishpat",1390
Midrash Tehillim,Psalms,1369
Bamidbar Rabbah,Numbers,1348
Bava Kamma,Jastrow,1343
Aramaic Targum to Proverbs,Jastrow,1338
Exodus,Yismach Moshe,1326
Isaiah,Zohar,1322
Bava Metzia,"Shulchan Arukh, Choshen Mishpat",1319
Gittin,Jastrow,1319
Deuteronomy,Shenei Luchot HaBerit,1316
Bava Batra,Sefer Mitzvot Gadol,1303
Jastrow,Shir HaShirim Rabbah,1288
Exodus,Midrash Tanchuma,1273
Otzar Midrashim,Otzar Midrashim,1273
Jastrow,Onkelos Genesis,1245
Ketubot,Tur,1235
Daf Shevui to Sukkah,Sukkah,1230
Psalms,Rabbeinu Bahya,1226
Bava Metzia,Sefer Mitzvot Gadol,1225
Exodus,Zohar,1221
Sefer HaChinukh,Sefer Mitzvot Gadol,1212
Bava Kamma,Tur,1201
Aramaic Targum to Job,Jastrow,1200
Isaiah,Mahberet Menachem,1199
Exodus,Midrash Tanchuma Buber,1195
Eichah Rabbah,Jastrow,1192
Mahberet Menachem,Psalms,1191
Genesis,Rabbeinu Bahya,1179
Exodus,Rabbeinu Bahya,1178
Sefer Mitzvot Gadol,"Shulchan Arukh, Even HaEzer",1174
Jastrow,Targum Jonathan on Isaiah,1152
Bava Kamma,"Shulchan Arukh, Choshen Mishpat",1148
Psalms,Yismach Moshe,1139
Shabbat,Tur,1118
Exodus,Shemot Rabbah,1105
"Mishneh Torah, Sabbath",Shabbat,1078
Jastrow,Midrash Tehillim,1075
Shabbat,"Shulchan Arukh, Orach Chayim",1071
Eruvin,Jastrow,1056
Jastrow,Yevamot,1043
