Ralbag on I Kings
רלב"ג על מלכים א
ralbag on I Kings 7:23
google translate

Ralbag on I Kings



Chapter 1



Chapter 2



Chapter 3



Chapter 4



Chapter 5



Chapter 6



Chapter 7



Verse 1



Verse 2



Verse 3



Verse 4



Verse 5



Verse 6



Verse 7



Verse 8



Verse 9



Verse 10



Verse 11



Verse 12



Verse 13



Verse 14



Verse 15



Verse 16



Verse 17



Verse 18



Verse 19



Verse 20



Verse 21



Verse 22



Verse 23

And made the sea solid and goo. Here it is stated in the Book of the Chronicles that the sea was used for bathing in its priests and so that it would not be the water Oubin needs we say the morning feet were from below and the water was coming from there from the ground and coming in there, and here is a male who was wide of the sea from his lip to ten cubits and was round and there were five cubits His stature, and here they say a thirty-line in her mother will circle it around is about an approximation because the circumference in the round adds about a threefold in diameter as much as a seventh in diameter and if we said that the circumference of the line is taken in the sea space here it will be closer to the truth but it will be a little closer It was tapped and it would be a locomotive ten cubits less than her third mother and would be circled around yo Take care of her mother's mother and her mother's third
