Tosafot on Shabbat
תוספות על שבת
automated translation
chatGPT

Tosafot on Shabbat



Daf 1a



Daf 1b



Daf 2a



Daf 2b



Daf 3a



Daf 3b



Daf 4a



Daf 4b



Daf 5a



Daf 5b



Daf 6a



Daf 6b



Daf 7a



Daf 7b



Daf 8a



Daf 8b



Daf 9a



Daf 9b



Daf 10a



Daf 10b



Daf 11a



Daf 11b



Daf 12a



Daf 12b



Daf 13a



Daf 13b



Daf 14a



Daf 14b



Daf 15a



Daf 15b



Daf 16a



Daf 16b



Daf 17a



Daf 17b



Daf 18a



Daf 18b



Daf 19a



Daf 19b



Daf 20a



Daf 20b



Daf 21a



Daf 21b



Daf 22a



Daf 22b



Daf 23a



Daf 23b



Daf 24a



Daf 24b



Daf 25a



Daf 25b



Daf 26a



Daf 26b



Daf 27a



Daf 27b



Daf 28a



Daf 28b



Daf 29a



Daf 29b



Daf 30a



Daf 30b



Daf 31a



Daf 31b



Daf 32a



Daf 32b



Daf 33a



Daf 33b



Daf 34a



Daf 34b



Daf 35a



Daf 35b



Daf 36a



Daf 36b



Daf 37a



Daf 37b



Daf 38a



Daf 38b



Daf 39a



Daf 39b



Daf 40a



Daf 40b



Daf 41a



Daf 41b



Daf 42a



Daf 42b



Daf 43a



Daf 43b



Daf 44a



Daf 44b



Daf 45a



Daf 45b



Daf 46a



Daf 46b



Daf 47a



Daf 47b



Daf 48a



Daf 48b



Daf 49a



Daf 49b



Daf 50a



Daf 50b



Daf 51a



Daf 51b



Daf 52a



Daf 52b



Daf 53a



Daf 53b



Daf 54a



Daf 54b



Daf 55a



Daf 55b



Daf 56a



Daf 56b



Daf 57a



Daf 57b



Daf 58a



Daf 58b



Daf 59a



Daf 59b



Daf 60a



Daf 60b



Line 1



Line 2



Line 3



Line 4



Line 5



Line 6



Line 7



Line 8



Line 9



Line 10



Line 11



Line 12



Line 13



Line 14



Line 15



Line 16



Line 17

"In the first chapter of Sukkah (page 4b and there), regarding Rabbi Yehuda, who permits [a sukkah height] up to forty or fifty cubits, it does not ask 'now fifty, etc.' Similarly, in the beginning of 'Although' (Ketubot page 57a and there), regarding 'But the sages say, a person can stay with his wife even two or three years without a marriage contract,' it appears to Rabbi Yitzchak that whenever it is clear that they mean 'even much more,' they do not question it. But here, there is no reason to interpret 'four or five' as 'even much more,' because if so, [it would imply leniency regarding] a sandal with nails. And similarly, in the chapter of the 'Daughters of Cutheans' (Niddah page 37b and there), it asks regarding 'and how long is her labor?' Rabbi Meir says 'even forty or fifty days,' because there is no reason to say 'even much more,' as it is unreasonable to consider labor blood from the beginning of pregnancy. And it appears in all these cases that the latter measure is exact, which is why they question, 'let it say the latter measure' rather than the first. And later, in 'Removing Four or Five Baskets' (Shabbat 126b), it also questions, 'now five are allowed, so four...' showing that no more is permitted due to the burden of Shabbat. Rav Chisda explains, 'four from a small storage room, five from a large one,' and Shmuel explains, 'four or five, even many,' as people say that many may be removed as long as the storage floor is not completely cleared to avoid leveling pits, as explained there. And if you ask: in the chapter 'Although' (Ketubot 60a and there), we say, 'a child may nurse even four or five years,' and it does not question this, even though it seems exact. Since there, it questions 'with his bundle on his shoulder' and answers that both are one measure, one can say this is for a lean child and this for a strong child. And as we say in the chapter 'The Forearm' (Chullin 132b), a Kohen butcher is exempt from gifts for two or three weeks, but after that, he is obligated. Rabbi Yitzchak explains that it mentions two for Rabbi, who holds in 'The One Who Has Relations with His Brother’s Wife' (Yevamot 64a) that a presumption is established after two occurrences, and three for Rabbi Shimon ben Gamliel."
